price,sqft_living,yr_built
240500,1240,1922
274975,3030,1987
740000,2050,1922
186375,1000,1952
790000,2370,1977
880000,2800,1951
279000,2240,1955
295000,1810,1991
640000,1070,1924
940000,2490,1968
260000,1960,2003
559900,2930,2004
791500,1510,1911
265000,1420,1954
245000,1740,1954
485000,2560,1962
684000,3040,2010
425000,2500,1957
309600,1275,1991
552250,2580,2002
165000,1000,1943
239900,1000,1943
320000,1070,1930
206600,1390,1987
387000,2500,1973
299000,560,1967
855000,2270,1965
315000,1900,1954
437500,990,1907
252000,1550,1969
375000,2200,1955
300000,1910,2005
420000,1750,1954
900000,1330,1928
679900,2440,2000
463000,1640,1992
380000,2760,1978
329500,1820,1994
604950,2110,2013
795000,3040,1966
465000,1840,1994
673000,2990,2002
810000,3520,1991
785000,2440,1989
338000,2090,1986
280000,1430,1993
315000,2180,1954
530000,2180,1954
380000,3450,2004
297000,1450,1994
730000,3230,2004
450000,1640,1940
275000,1590,1997
595000,2020,1960
435000,1300,1904
270000,1380,1954
950000,4040,1986
389000,2130,2001
560000,2550,1968
1350000,4800,1998
799000,2510,1969
365500,1410,1983
252350,1650,1979
403950,2120,1993
385000,2040,1954
345000,1550,1957
490000,1980,1979
330000,1600,2005
927000,3300,1953
1118000,3840,1983
330000,1220,1950
530000,2720,1958
365000,1940,1962
378750,2160,1909
269900,1530,1968
557000,1710,2008
360000,3730,1974
352000,940,1937
437000,1750,1994
322500,1820,1994
650000,1510,2001
450000,1290,2001
278500,1570,1998
364950,1930,1995
840000,2840,1986
268000,1550,1991
517534,833,2006
632925,2990,1978
577500,2000,1995
339000,2390,1920
570000,2910,1967
563500,2085,1964
423000,2200,1962
355000,1860,2012
1550000,6070,1999
482000,950,1941
625000,1600,1955
538000,2250,1988
380000,2280,1985
375000,940,1909
245000,1530,1996
310000,2190,1947
1300000,2350,1976
397000,1440,1971
365000,2200,2005
328500,2290,1990
988000,4040,1987
1000000,2610,1922
237000,1490,2005
525000,2450,2003
749000,1710,1976
722500,4870,1983
843000,3130,1991
438000,1270,2000
578000,2120,1977
227950,1670,1954
196000,2070,1974
641000,1420,1953
350000,1250,1980
205000,940,1960
400000,1920,1968
1030000,3545,2005
505000,1260,1972
475000,2340,1975
520000,2590,1977
1450000,3970,1977
333500,1220,1965
232000,1400,1976
691100,2360,1983
811000,1870,1960
551000,2830,2001
496500,2260,1994
705000,1970,1980
578000,3140,1966
255000,1240,1986
1050000,3450,2007
348000,2570,1989
230000,1510,1985
359500,2390,1988
330000,980,1953
80000,430,1912
465000,1480,1954
325000,1850,1997
340500,2270,1947
342500,1810,1993
290900,1610,1930
868700,3840,2000
1199000,4110,1928
1150000,4190,2000
859900,3390,2011
520000,1890,2003
460000,1610,2005
438924,1050,1949
315000,630,1918
590000,2910,1975
378500,1700,1955
328500,1950,1990
849950,2990,1973
525000,1350,1950
1385000,4860,1993
295000,2160,1978
1067000,4860,1998
207950,890,1917
699900,2810,2002
1280000,3400,1977
452000,1580,1963
370000,1680,1987
232000,1300,1968
669950,2820,1960
397500,1510,1972
490000,1230,2004
725000,2110,1925
299000,3080,1958
625000,1490,1900
437500,2120,2000
650000,3180,2003
475000,1490,1929
342000,1930,1966
1197350,2770,1999
280000,1670,1963
240000,1330,1993
529000,1210,1924
442000,1190,1941
615000,1540,1946
1485000,4030,2006
585000,2430,1981
480000,2600,2005
1095000,4410,1990
290000,1330,1949
615000,1900,1951
300000,1100,1950
308000,1980,1932
750000,2400,2001
2250000,4760,1916
890000,3180,2005
288000,1190,1958
190000,630,1943
515000,2530,2005
235000,1690,1930
275000,940,1951
727500,1240,1952
650000,3040,2003
1600000,6050,2001
365000,1590,1944
662000,2500,1984
270500,1780,1978
200000,1360,1978
970000,4740,1987
160000,1010,1962
204000,1040,1971
358000,1610,1985
452000,1570,1979
595000,1510,1900
249000,1360,1994
346900,1970,1999
2125000,5403,1976
280000,1560,2003
318888,2320,1973
530000,2120,1967
375000,2120,1983
910000,3350,1988
782000,2380,1991
259950,1070,2008
315000,2300,1979
215000,1320,1943
705000,2180,1946
1450000,4380,1952
451000,1790,1949
261000,750,1943
396000,1300,1956
725000,2990,1999
1950000,4640,1965
238000,1400,1959
750000,2750,1973
331500,2050,1998
460000,2230,1978
404950,2340,1982
880000,2870,2014
863000,4120,1997
638700,2080,1960
435000,1840,2008
260000,1180,1959
671500,2160,1927
610000,1180,1907
405000,1160,1937
338900,1830,2003
720000,3200,2004
442000,2560,1927
650000,2550,1902
263500,1330,1981
300000,1220,1963
266000,1805,2009
930000,6050,2009
530000,2320,2004
180000,1384,1965
619000,2720,2005
264000,1820,1962
730000,2130,1941
439000,2060,1975
268500,1420,1981
330000,1510,1985
640000,2160,1903
900000,3180,1978
370000,2110,1985
685000,2060,1931
505000,1830,1981
265000,1820,1966
290000,1610,2006
296000,1780,2006
360000,1840,1996
240500,1460,1997
372500,1400,2007
595000,3370,2004
515000,3590,1997
1220000,3200,1962
507000,1670,2004
399950,2420,1984
185000,1430,1994
460000,1440,1980
435500,1450,1985
469000,3550,1966
531000,1270,2000
443500,940,1949
223000,1670,1990
590000,3100,1996
340000,1100,1997
650000,1870,1925
533600,1930,1990
695000,2540,2005
242000,1280,1988
425000,1820,1967
525000,1490,1981
485000,1880,1988
175000,1250,1971
210000,1440,1983
260000,1920,1989
577000,2060,1976
200000,1210,1958
605000,1760,1927
325000,990,1947
289500,960,1944
559950,1660,2014
1042500,1900,1941
543500,1270,1970
480000,3250,1983
218000,960,1982
565000,1330,1914
426700,2080,1968
650000,2690,1957
542000,890,1910
415000,1070,1977
214000,1200,1953
245000,1360,1949
314500,2050,1993
1120000,3000,1924
378000,1300,1963
305000,2250,1982
595000,3740,1978
729500,1660,2015
430000,2360,2003
240000,1760,1987
545000,1680,1916
530000,1320,1918
157000,870,1939
425000,1260,1925
220000,1000,1944
521000,2020,1976
325000,1920,1952
597500,2150,1911
337000,1470,1999
1000000,3180,1991
3070000,3930,1957
495000,990,1943
748000,2770,2001
888000,1250,1953
269900,1140,1986
496500,2250,1967
475000,1640,1969
312000,1255,2004
323000,1290,1976
331000,1300,1986
306000,1220,2007
655000,2630,2002
290000,1950,1959
1250000,3160,1965
460000,1550,1949
435000,1700,1940
664000,2510,1978
865000,1800,1921
385000,1800,1968
497000,1870,1975
280000,1010,1925
188000,1120,1924
478500,2090,1969
1145000,4370,2001
222000,1440,1981
799000,2580,1984
609900,3190,2006
413000,2380,1995
400000,1420,1930
802541,2990,2014
320000,2680,1990
507000,2730,2006
387500,1220,1946
396000,1500,1967
373000,1830,1958
1484900,4570,1965
359900,2470,1983
410000,800,1927
690000,2900,1992
245000,1410,1985
700000,2830,1979
268000,1680,1977
225000,1760,1979
980000,2240,1976
795000,1380,1905
195000,820,1953
480000,2180,1950
485000,1400,1900
130000,880,1928
325000,1060,1946
440000,1530,1984
550000,2480,1958
310000,1490,1967
530000,3660,1989
390000,2340,1993
243000,1450,1981
639000,2210,1990
215000,1130,1969
405000,1550,1961
250000,1710,1968
405500,1010,1954
452000,2660,1937
730000,2660,1937
267000,1300,1994
289950,1670,2002
565000,960,1911
1578000,4670,1988
636000,2140,2007
350000,2520,2004
320000,1650,1978
210000,1440,1978
245000,1050,1950
328000,1470,1983
985000,4230,1989
501000,1970,1976
315000,1540,1992
403000,2090,2012
550000,2380,1934
347500,2156,2012
365000,2070,1986
588000,1910,1951
605000,1920,1977
1300000,3400,1937
233000,1400,1974
360000,2210,1997
459000,1170,1929
740000,2100,1995
305000,1160,1967
395000,1500,1925
560000,2940,2000
650000,2010,1963
449950,2170,2003
517500,1430,1940
435000,1510,1970
329999,1150,1952
950000,2150,1960
447000,1370,1944
699800,2380,2010
850000,1370,1911
316500,1600,1979
942500,3750,1981
1310000,3950,1991
856600,2400,1964
405600,2830,1918
565000,2440,1996
400000,1190,2008
330000,1400,1997
374950,2730,2005
405300,2390,1983
560000,2060,1984
824000,2490,1961
260000,1100,1984
760000,2430,1965
405000,3170,1995
429900,2640,1987
341500,1130,1961
465250,1940,1957
450000,1100,1912
390000,1200,1955
420000,2000,1963
269950,1890,2002
493000,1910,1910
370000,2710,1998
2250000,4860,1905
305000,1250,1967
400000,1590,1938
320000,1240,2009
715000,2000,1911
650000,3610,1966
218000,1930,1966
500000,1280,1964
460000,2090,1984
232500,1940,1969
408200,1800,1990
522000,1730,1980
675000,2810,1982
1355000,3550,1999
249950,1330,1952
210000,750,1950
429950,1760,1947
737500,3200,1993
710000,1740,1958
470000,2100,1999
1100000,4270,1993
650000,1340,1913
1216000,3190,1967
422120,1630,1987
625000,2990,2007
385200,1550,1954
500000,1690,1989
308000,1960,1989
565000,2390,1977
581000,2600,2004
361000,1950,1999
345000,1250,1964
419000,1180,2008
347000,1680,2004
625000,2220,1989
2400000,4890,1999
379000,2660,2014
310000,1150,1988
250000,1130,1941
682000,2760,2005
246500,1430,1992
325000,1490,1932
310950,2030,2004
1100000,3010,1931
287500,1810,1954
431000,1810,1954
226000,970,1968
825000,2010,1926
175000,1300,1947
465750,1260,1959
659000,2610,1983
595000,1910,1941
350000,1780,1987
270000,1900,1975
662500,2450,1957
249900,1380,1939
324500,1920,1977
430000,1350,2004
419950,1350,2004
285000,2510,1962
332000,2470,2002
282000,1660,1956
320000,1340,1987
428750,1620,1911
330000,2300,1977
456500,2000,2008
352000,1640,1972
664000,1530,1912
628000,4000,1987
512000,1610,1977
254000,2070,1969
535800,1900,1994
287653,1050,1960
438000,1520,2006
450000,2390,1949
327000,2400,1998
370500,1790,2005
265000,1720,1993
450000,2980,1979
425000,1520,1988
166600,1150,1977
245000,380,1963
565000,910,1951
539900,1650,1976
910000,2480,2010
280000,2050,1990
275000,1420,1989
467000,3460,2001
457500,1500,1996
381156,1320,1908
289999,2180,1977
642450,1830,1919
469950,1620,1962
795000,2920,1975
785000,3300,1984
860000,3060,1983
1095000,3064,1990
147500,1530,1959
390000,1910,1978
229000,1020,1954
185000,1150,1932
414900,1260,1941
200000,1920,1914
225000,1800,1969
720000,2040,1924
930000,2200,1908
1270000,3200,1952
700000,2400,1928
466000,1140,2005
374000,1330,1976
480000,1940,1994
740000,3000,1995
1010000,1820,1923
395000,2910,2002
340000,1090,1954
209000,1230,2003
431650,1710,1962
980000,3160,1971
660000,2680,1993
730000,2190,1977
291500,1260,1988
905000,2970,1997
800000,2570,1993
839900,3810,2013
200000,1010,2007
300000,1480,1979
530000,1250,1942
314950,1654,1995
255000,1410,1960
550000,2160,1950
435000,1400,1917
234000,1420,1966
615000,2500,1975
205000,1410,1985
384000,2100,1955
324000,1750,1994
645000,2070,1946
570000,1570,2007
324000,1920,1999
270000,1000,1943
290000,2120,1962
250000,1440,1965
342000,1660,1990
255000,1340,1958
800000,2380,1972
451000,1560,1926
990000,2780,1967
288400,1860,1983
420000,2390,1920
359000,1370,2009
390000,2570,1988
300000,1320,2005
545000,2520,1981
288349,1250,1972
299900,1560,1985
891000,2330,1925
1200000,3660,1947
378000,2790,2004
299995,1060,1951
253000,2020,1994
350000,1580,1979
565000,2020,1900
315000,970,1908
570000,1490,1915
971000,4390,2005
915000,2750,1910
419000,2150,1950
260000,1810,1977
1321500,2230,1990
369950,2430,1977
1029900,3680,1994
435000,1410,1929
601000,1330,1958
460500,1490,1963
720000,2020,2000
851000,3130,1996
550000,2670,1916
700000,1980,1920
323000,2100,1963
345500,1350,1944
378000,2140,1959
650000,2208,1917
385000,1010,1982
425000,970,1910
210000,1520,1920
630000,2740,1993
335000,1570,1953
196500,1320,1966
582800,2550,1986
440000,1560,1983
752500,2360,1974
532500,1330,1909
265000,1070,1950
397500,1510,1961
524250,1710,1999
765000,2790,1996
648000,2620,2001
469500,2970,1969
237500,1050,1975
216000,1280,1956
427200,1030,1963
280000,1900,1977
718000,3070,1968
420000,1760,2010
379000,930,1952
326100,880,1942
535000,1360,2003
283000,2130,1992
260000,1480,1940
399000,1500,1951
484950,1670,1987
640000,2060,1960
585000,2160,1952
645000,2780,1955
253000,1490,1988
178500,740,1953
291000,1860,1991
199950,1590,1920
553500,850,1922
189950,1030,1981
289000,1850,1988
700000,1830,1908
270000,1560,1967
258000,1730,1977
530000,1930,2005
245000,1422,2012
563000,1380,1917
515000,2430,2001
325000,2610,1987
540000,2000,1996
280300,920,1949
460000,1750,1926
475000,2020,1981
900000,2460,1957
538200,1780,1964
429000,1080,1922
164808,1250,1980
520000,1870,1977
475000,1700,1977
283000,1480,1942
321500,1930,2000
840000,3130,1993
287000,1370,1992
375000,960,1962
349500,1260,1969
446450,1480,1960
315000,1930,1992
271310,870,1906
315000,1300,1953
245000,1490,1990
543115,1380,1947
900000,1190,1945
2450000,4250,2008
554000,1920,2003
249900,2080,1950
768000,3220,1981
980000,3680,1967
395000,2070,1962
415000,1480,1995
380000,2000,2003
566000,1560,1999
218500,1600,1949
550000,1940,1976
512031,1540,1920
197500,820,1950
470000,1780,1977
590000,1560,1981
465000,2210,1977
499000,2040,1968
515000,1920,1972
716500,1930,1936
410000,1700,1944
850000,3450,1994
1050000,3440,1983
648000,2380,1992
620000,2400,1929
935000,5670,2008
379000,1140,1963
699000,1670,1952
528000,1910,1960
425000,1560,1974
249500,1500,1963
1035480,4475,2014
790000,2840,1961
399950,1020,1969
275000,1410,1953
550000,1520,1912
140000,730,1926
250000,1190,1954
318000,1410,1988
505000,1240,1962
470500,2500,1966
360000,1050,1954
1242500,2680,1962
986000,2380,1964
515000,1060,1906
320000,2300,1939
310000,2010,1951
356700,1090,1942
775000,2320,1956
325000,1040,1951
208000,1810,1962
825000,1150,1908
515000,2360,1990
490000,1970,1929
675000,2690,1954
360000,2080,1962
550000,2080,1962
225000,1370,1962
500000,3410,1967
385000,1850,1969
837700,3010,1994
448000,1530,2003
730000,2690,1952
575000,2810,1954
430000,1810,1976
435000,1560,2002
241000,1010,1973
453500,1000,1924
285000,990,2001
151000,720,1942
1570000,6070,2004
631000,2270,1905
285000,1380,2011
195000,1260,1959
817500,2910,1987
550000,1810,1960
1127000,3160,1995
609850,1910,2002
200000,1230,1947
367000,2960,2006
285167,2200,1988
275000,1270,1947
350900,2540,1992
660000,3030,1988
525000,1520,1957
262000,1560,1997
690000,970,1907
624000,3570,2005
353000,1350,1947
552500,3710,2002
224500,1430,1983
239000,940,1950
975000,4300,2004
1200000,3990,2006
505000,1380,1910
302000,2020,1963
170000,1480,1944
195000,1190,1910
272000,2550,1959
369000,2550,1959
332500,1500,1953
515000,3000,1963
269000,1690,1967
1278000,4390,1994
303000,1560,1985
420000,2940,1977
400000,1130,1941
225000,1020,1987
219000,1310,2004
605000,2570,1989
625000,2020,1942
380000,1680,1906
620000,1770,1962
687500,3190,1994
225500,1440,1962
252500,1150,1956
510000,1860,1994
510000,2430,2003
725000,1940,1906
75000,670,1966
492000,880,1927
425000,1930,1977
1955000,3120,1963
298900,1830,1994
699000,3230,1987
310000,700,1918
350000,1010,1961
790000,2460,1961
305000,2230,2003
315000,1570,2003
267500,2390,1977
1750000,3460,1950
435000,2400,1987
482500,2940,1966
5110800,8010,1999
439995,1570,1959
460000,1520,1967
194000,1070,1971
290000,440,1943
274700,2440,1963
900000,2660,1910
1150000,4460,2001
605000,2010,2008
359000,1450,2004
850000,1400,1951
505000,1500,2002
565000,2500,1990
585000,1280,1955
328000,3380,1990
749950,2910,1957
826000,3060,2006
535000,1330,1977
925000,3300,1991
875000,3250,2001
902000,2530,1976
423000,1830,1951
235000,1170,1968
545000,2930,1980
343000,1230,1961
334950,1620,2002
405000,1760,1956
220000,1440,1959
173000,1740,1947
655000,1270,1906
406000,880,1924
632000,2560,1961
357000,1540,1990
361000,1150,1964
277000,770,1948
630000,4610,1980
254000,1850,2003
472800,1840,1961
263000,1490,1913
510000,1490,1913
179950,960,1952
525000,1580,1973
479000,1260,2008
651000,1940,1940
949000,2490,1958
392400,2520,1942
585000,1760,1950
460000,4190,2004
470000,1170,1951
245000,1600,2003
500000,2760,1978
455000,2090,1989
485500,2320,1999
1875000,4110,1921
100000,770,1978
307000,1410,1982
475000,3660,1994
330000,2180,1972
130000,1110,1960
320000,2280,1998
735000,2820,2013
365000,1570,1972
234000,1200,1968
211000,1710,1970
680000,3000,1969
457000,2800,2002
349000,1640,1989
360000,2030,1979
350000,2530,1998
208000,990,1960
250275,790,1942
435000,790,1942
270000,1800,1984
438000,1650,1961
659000,1980,1938
645000,2340,1974
685100,2790,1999
350000,2800,1963
375000,1840,1955
170000,1350,1966
880000,3030,2005
410500,1980,2008
780000,3690,1996
1225000,3732,2001
449000,1510,2005
546000,2000,1921
317000,1760,1977
276900,1270,1958
399000,2620,1965
495000,2630,1976
258000,2270,1978
600000,2410,1912
265000,1120,1999
321000,3030,1978
682000,2120,1910
295700,1720,2000
609000,2150,1985
995000,4380,1968
530000,2010,1986
614000,3150,1907
390000,2500,1986
467000,1690,2004
484000,3300,1980
340000,1240,2003
302495,2200,1994
532500,1620,1927
441500,2420,1993
470000,2680,1967
2300000,4250,2004
590000,2400,1996
320000,2300,1942
363000,920,2009
747500,2350,1977
750000,2630,2003
831000,2170,1982
403000,1700,2004
445000,2470,2005
345000,1250,1970
2260000,3110,2003
371025,1530,1977
355000,960,1916
270000,1240,1972
425000,2440,1957
364808,2320,1967
320000,1580,1981
325000,2963,2006
350000,2470,1984
170000,1370,1947
255000,960,1984
550000,1130,1947
835000,4930,2005
420000,1150,1946
925000,2190,1958
389250,1490,1956
748000,2600,2004
284000,1530,1988
588000,1680,1950
372500,1680,1963
285000,1900,1988
360000,1570,1954
275000,1370,1930
428000,1350,2003
847000,3010,1969
316000,1010,1977
375000,2050,2000
533000,1670,1967
556000,3840,1991
225000,2220,1966
537250,2590,1978
255000,1180,1967
530000,2950,2006
5300000,7390,1991
595000,2150,1996
548000,2100,1958
234975,1650,1980
600000,1620,2005
432000,1750,1967
455000,1380,1986
279950,1510,1965
267500,1600,1963
620000,1840,2000
110000,830,1943
625000,1810,2009
389000,910,1952
1200000,2120,1905
788500,2510,1977
567000,2100,1974
515000,2690,1987
605000,2430,1968
430000,2452,1936
805000,1550,1920
567500,2080,1999
647500,1290,1916
495000,1850,1903
825000,3370,2006
435000,2730,1987
445950,1300,1968
960000,3040,1993
780000,2440,1929
274500,1720,1969
729953,3230,1909
464950,1200,2008
620000,2350,1959
735000,3100,2005
450000,2040,1959
450000,2000,1916
842500,2160,1902
360000,1970,1979
585000,2270,1998
461000,1850,1977
345000,1350,1949
1075000,3280,1970
643000,2270,1988
690000,2820,1990
282000,1200,1949
549000,2000,1951
815000,2310,1926
2200000,4640,1952
700000,2330,1984
933399,3940,1992
290000,1440,1967
372000,1960,1979
450000,1250,1920
303700,1981,2010
672000,2440,1989
334000,1150,1970
260000,1120,1944
749950,1800,1941
330000,2380,1984
830000,2920,1960
1131000,2790,2006
320000,1560,1948
260000,1550,1920
225000,1700,1945
279200,640,1939
520000,2680,1942
505000,1860,1987
234000,1490,1975
503000,2470,2005
606000,2390,1979
433500,1230,1937
250000,2840,1951
719000,2120,1984
381000,1770,1959
267000,2495,2007
275000,1170,1962
651000,2740,1993
439000,1050,1949
325000,1130,1955
490000,880,1938
519900,2403,1999
545000,3410,1984
1062500,5320,2003
542000,1900,1955
465000,1810,1961
408000,1200,2006
292000,2060,2000
253000,1250,1994
280000,910,1942
658588,2560,1986
635000,1920,1969
439000,2240,1978
300000,1260,1999
345000,1360,1960
283500,2100,1978
425000,2110,1911
685000,2210,1974
750000,2360,1983
245000,1280,1960
585444,2740,1962
706000,2740,2009
445000,2630,1944
241000,1650,1990
1175000,1770,1957
530000,1500,1927
350000,1430,1948
1700000,3190,1999
389000,1280,1968
799000,2390,1945
1400000,4040,1951
340895,920,1947
780000,2730,1996
350000,1320,1993
470000,2620,1999
914600,3180,1985
354000,2900,2005
470000,1900,1920
715000,1760,1927
265000,760,1950
2537000,3710,1936
640000,1530,1950
290000,1990,1929
480000,3830,1976
535000,2040,1954
907000,2170,1965
459000,1620,1974
1355000,3600,1950
264950,1470,1967
352950,1760,1900
491500,2230,1974
1229000,3770,1989
369500,1200,1952
566000,2090,2004
290000,1500,1968
5350000,8000,2009
180000,870,1969
215000,1010,1944
302000,1010,1944
352500,1860,1986
235867,1330,1942
500000,1760,1978
382000,1800,1995
515000,1690,1930
250000,660,1919
672500,2400,1939
755000,3020,1989
707500,1500,1910
459000,1560,1924
140000,1090,1959
495000,970,1905
757000,3190,2007
765000,3190,2007
359000,1890,1955
440000,1050,1900
400000,1390,1965
652000,1700,1941
260000,1050,1980
1328000,3340,1964
519500,1540,1964
650000,1710,1928
280000,2100,1978
515000,1730,1965
400000,1500,1986
652100,2380,2003
235000,2180,1980
701000,1840,1907
640000,2341,1997
455800,1690,2002
504750,2490,1993
483000,2440,1992
530000,920,1950
250000,1030,1956
229950,2000,1994
884744,4210,2001
514000,1610,1977
532000,1910,1977
423000,2660,2004
420000,820,1922
521000,1730,1988
577000,2360,1979
425000,970,1956
495000,2460,2004
340000,2690,1987
499950,1820,2014
1218000,3470,2014
720000,3370,1977
249000,1700,1970
206135,1340,1978
300000,2000,1968
612000,3840,1949
1102030,3890,1950
230000,1220,1970
850000,2280,1936
355000,2770,1979
442000,2520,1990
399000,3060,2001
360000,2390,1999
390000,1320,1978
413000,2900,1977
190000,700,1951
432900,2210,1998
621138,2180,1986
270000,2080,2003
610000,2090,1980
500000,1720,1941
715000,2460,1968
264000,1470,1958
550000,1650,1901
337000,1690,1997
170000,970,1962
405000,2030,1972
775000,2540,1984
425000,1570,1983
713000,2580,1967
555000,2090,1966
810000,3260,2003
1250000,3830,1990
819000,2130,1908
409900,1690,2013
935000,1780,1974
657500,1620,1947
900000,4210,2008
932800,2980,1998
391000,1490,1977
420000,2110,2000
1300000,6563,2002
415000,1510,1956
350000,1830,1946
375000,1230,1948
860000,2180,1947
495000,2220,1961
250000,1730,1962
365000,1990,1968
503000,1540,1980
150000,1100,1944
450000,1640,1912
355000,2590,2001
