Gender,Married,Dependents,Education,Self_Employed,Applicant_Income,Coapplicant_Income,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Repayment
Male,Yes,2,Graduate,Yes,3316,3500,88,360,1,Urban,1
Male,Yes,2,Not Graduate,No,4200,1430,129,360,1,Rural,0
Male,Yes,0,Graduate,No,2698,2034,122,360,1,Semiurban,1
Female,Yes,0,Graduate,No,2330,4486,100,360,1,Semiurban,1
Male,Yes,1,Graduate,No,1538,1425,30,360,1,Urban,1
Male,Yes,0,Graduate,No,4860,830,125,360,1,Semiurban,1
Male,No,0,Graduate,No,6277,0,118,360,0,Rural,0
Male,Yes,2,Not Graduate,No,2281,0,113,360,1,Rural,0
Male,No,0,Graduate,No,3254,0,50,360,1,Urban,1
Male,No,0,Graduate,,2980,2083,120,360,1,Rural,1
Male,Yes,0,Not Graduate,No,1863,1041,98,360,1,Semiurban,1
Male,Yes,1,Graduate,No,3089,1280,121,360,0,Semiurban,0
Male,Yes,0,Graduate,No,9323,0,75,180,1,Urban,1
Female,Yes,0,Graduate,No,4583,0,112,360,1,Rural,0
Male,Yes,0,Graduate,No,2439,3333,129,360,1,Rural,1
Male,No,0,Graduate,No,2237,0,63,480,0,Semiurban,0
Male,Yes,0,Not Graduate,,1820,1769,95,360,1,Rural,1
Male,Yes,3,Not Graduate,No,3522,0,81,180,1,Rural,0
Male,Yes,0,Not Graduate,Yes,4344,736,87,360,1,Semiurban,0
Male,Yes,0,Graduate,No,3497,1964,116,360,1,Rural,1
Male,Yes,2,Graduate,No,2045,1619,101,360,1,Rural,1
Male,Yes,1,Graduate,No,3750,0,116,360,1,Semiurban,1
Male,No,0,Not Graduate,No,2333,1451,102,480,0,Urban,0
Male,No,0,Graduate,No,1916,5063,67,360,,Rural,0
Male,Yes,0,Graduate,No,4600,0,73,180,1,Semiurban,1
Female,Yes,0,Graduate,No,3625,0,108,360,1,Semiurban,1
Male,Yes,1,Graduate,Yes,2178,0,66,300,0,Rural,0
Male,Yes,0,Graduate,No,2383,2138,58,360,,Rural,1
Male,No,0,Not Graduate,No,4885,0,48,360,1,Rural,1
Male,No,0,Graduate,No,3858,0,76,360,1,Semiurban,1
Male,No,0,Graduate,No,4191,0,120,360,1,Rural,1
Female,No,0,Not Graduate,No,1907,2365,120,,1,Urban,1
Female,Yes,0,Graduate,No,3416,2816,113,360,,Semiurban,1
Male,Yes,1,Not Graduate,No,2600,2500,90,360,1,Semiurban,1
Male,Yes,1,Not Graduate,No,3500,1083,135,360,1,Urban,1
Male,Yes,2,Not Graduate,No,3917,0,124,360,1,Semiurban,1
Female,No,0,Not Graduate,No,4408,0,120,360,1,Semiurban,1
Female,No,0,Graduate,No,3244,0,80,360,1,Urban,1
Male,No,0,Not Graduate,No,3975,2531,55,360,1,Rural,1
Male,No,0,Graduate,No,2479,0,59,360,1,Urban,1
Male,No,0,Graduate,No,3418,0,127,360,1,Semiurban,0
Male,Yes,3,Graduate,No,3430,1250,128,360,0,Semiurban,0
Male,Yes,3,Not Graduate,Yes,5703,0,130,360,1,Rural,1
Male,Yes,0,Graduate,No,3173,3021,137,360,1,Urban,1
Male,Yes,3,Not Graduate,No,3850,983,100,360,1,Semiurban,1
Male,Yes,0,Graduate,No,150,1800,135,360,1,Rural,0
Male,Yes,0,Graduate,No,3727,1775,131,360,1,Semiurban,1
Male,Yes,2,Graduate,,5000,0,72,360,0,Semiurban,0
Female,Yes,2,Graduate,No,4283,2383,127,360,,Semiurban,1
Male,Yes,0,Graduate,No,2221,0,60,360,0,Urban,0
Male,Yes,2,Graduate,No,4009,1717,116,360,1,Semiurban,1
Male,No,0,Graduate,No,2971,2791,144,360,1,Semiurban,1
Male,Yes,0,Graduate,No,6250,0,128,360,1,Semiurban,1
Male,Yes,,Not Graduate,Yes,4735,0,138,360,1,Urban,0
Male,Yes,1,Graduate,No,2491,2054,104,360,1,Semiurban,1
Male,Yes,0,Graduate,,3716,0,42,180,1,Rural,1
Male,No,0,Not Graduate,No,3189,2598,120,,1,Rural,1
Male,Yes,1,Graduate,No,3155,1779,140,360,1,Semiurban,1
Female,No,0,Graduate,Yes,3463,0,122,360,,Urban,1
Female,No,1,Graduate,No,3812,0,112,360,1,Rural,1
Male,Yes,1,Graduate,No,3315,0,96,360,1,Semiurban,1
Male,Yes,2,Graduate,No,5819,5000,120,360,1,Rural,1
Male,Yes,1,Not Graduate,No,2510,1983,140,180,1,Urban,0
Male,Yes,2,Graduate,Yes,6250,1300,108,360,1,Rural,1
Male,Yes,0,Not Graduate,No,3406,4417,123,360,1,Semiurban,1
Male,No,0,Graduate,Yes,6050,4333,120,180,1,Urban,0
Male,Yes,2,Graduate,No,9703,0,112,360,1,Urban,1
Male,Yes,1,Not Graduate,No,6608,0,137,180,1,Urban,1
Male,Yes,1,Graduate,No,2882,1843,123,480,1,Semiurban,1
Male,Yes,0,Graduate,No,1809,1868,90,360,1,Urban,1
Female,No,2,Graduate,No,3427,0,138,360,1,Urban,0
Male,No,0,Not Graduate,Yes,2583,2167,104,360,1,Rural,1
Male,No,0,Not Graduate,No,6045,0,115,360,0,Rural,0
Male,Yes,3,Graduate,No,5250,0,94,360,1,Urban,0
Male,Yes,3,Not Graduate,No,4931,0,128,360,,Semiurban,0
Male,No,0,Graduate,No,2060,2209,134,360,1,Semiurban,1
Female,No,0,Graduate,No,7200,0,120,360,1,Rural,1
Male,No,0,Graduate,Yes,5166,0,128,360,1,Semiurban,1
Male,Yes,2,Graduate,No,4708,1387,150,360,1,Semiurban,1
Female,No,0,Graduate,,3418,0,135,360,1,Rural,0
Female,No,1,Graduate,No,2876,1560,90,360,1,Urban,1
Female,No,0,Graduate,No,3237,0,30,360,1,Urban,1
Male,No,0,Graduate,No,2833,1857,126,360,1,Rural,1
Male,Yes,0,Graduate,No,2620,2223,150,360,1,Semiurban,1
Male,Yes,2,Graduate,No,3900,0,90,360,1,Semiurban,1
Male,Yes,1,Graduate,No,2750,1842,115,360,1,Semiurban,1
Male,Yes,0,Graduate,No,3103,1300,80,360,1,Urban,1
Female,Yes,0,Not Graduate,No,4100,0,124,360,,Rural,1
Male,Yes,0,Graduate,No,3927,800,112,360,1,Semiurban,1
Male,Yes,2,Graduate,No,2301,985.7999878,78,180,1,Urban,1
Female,No,0,Graduate,No,1811,1666,54,360,1,Urban,1
Male,No,0,Graduate,No,3158,3053,89,360,1,Rural,1
Female,No,0,Graduate,Yes,2600,1717,99,300,1,Semiurban,0
Male,Yes,0,Graduate,No,3704,2000,120,360,1,Rural,1
Female,No,0,Graduate,No,4124,0,115,360,1,Semiurban,1
Male,Yes,0,Graduate,No,3075,2416,139,360,1,Rural,1
Male,Yes,2,Graduate,No,4400,0,127,360,0,Semiurban,0
Male,Yes,2,Graduate,No,3153,1560,134,360,1,Urban,1
Female,No,,Graduate,No,5417,0,143,480,0,Urban,0
Male,Yes,3,Graduate,,4416,1250,110,360,1,Urban,1
Female,Yes,1,Graduate,No,4666,0,135,360,1,Urban,1
Male,Yes,1,Graduate,No,2014,2925,113,360,1,Urban,0
Male,Yes,0,Not Graduate,No,1800,2934,93,360,0,Urban,0
Male,Yes,,Not Graduate,No,2875,1750,105,360,1,Semiurban,1
Female,No,0,Graduate,No,5000,0,132,360,1,Rural,1
Male,Yes,1,Graduate,No,1625,1803,96,360,1,Urban,1
Male,No,0,Graduate,No,4000,2500,140,360,1,Rural,1
Female,No,0,Graduate,No,3762,1666,135,360,1,Rural,1
Female,No,0,Graduate,No,2400,1863,104,360,0,Urban,0
Female,No,0,Graduate,No,2917,0,84,360,1,Semiurban,1
Male,No,0,Not Graduate,No,2927,2405,111,360,1,Semiurban,1
Female,No,0,Graduate,No,2507,0,56,360,1,Rural,1
Male,Yes,2,Graduate,Yes,5746,0,144,84,,Rural,1
Male,Yes,1,Not Graduate,No,3399,1640,111,180,1,Urban,1
Male,Yes,2,Graduate,No,3717,0,120,360,1,Semiurban,1
Male,Yes,0,Graduate,No,2058,2134,88,360,,Urban,1
Female,No,1,Graduate,No,3541,0,112,360,,Semiurban,1
Male,Yes,0,Graduate,No,2400,2167,115,360,1,Semiurban,1
Male,Yes,3,Graduate,No,4342,189,124,360,1,Semiurban,1
Female,No,0,Graduate,No,3166,2985,132,360,,Rural,1
Male,No,0,Graduate,No,4917,0,130,360,0,Rural,1
Female,Yes,0,Graduate,No,4333,2451,110,360,1,Urban,0
Female,No,0,Graduate,No,2500,0,67,360,1,Urban,1
Male,No,1,Graduate,No,4384,1793,117,360,1,Urban,1
Male,No,0,Graduate,No,2935,0,98,360,1,Semiurban,1
Male,No,,Graduate,No,2833,0,71,360,1,Urban,1
Male,Yes,,Graduate,Yes,5503,4490,70,,1,Semiurban,1
Female,No,0,Graduate,No,4160,0,71,360,1,Semiurban,1
Female,No,0,Graduate,No,2378,0,46,360,1,Rural,0
Male,Yes,3,Not Graduate,No,3173,0,74,360,1,Semiurban,1
Male,Yes,2,Graduate,,2583,2330,125,360,1,Rural,1
Male,Yes,2,Not Graduate,No,3083,2168,126,360,1,Urban,1
Male,Yes,3,Graduate,No,2666,2083,95,360,1,Rural,1
Female,Yes,0,Graduate,Yes,5500,0,105,360,0,Rural,0
Female,Yes,0,Graduate,No,2423,505,130,360,1,Semiurban,1
Female,No,,Graduate,No,3813,0,116,180,1,Urban,1
Male,Yes,1,Graduate,No,3875,0,67,360,1,Urban,0
Male,Yes,0,Not Graduate,No,3000,1666,100,480,0,Urban,0
Female,No,1,Graduate,No,4723,0,81,360,1,Semiurban,0
Male,Yes,0,Graduate,No,4750,2333,130,360,1,Urban,1
Male,Yes,0,Graduate,No,3013,3033,95,300,,Urban,1
Male,No,0,Graduate,Yes,6822,0,141,360,1,Rural,1
Male,No,0,Not Graduate,No,6216,0,133,360,1,Rural,0
Male,No,0,Graduate,No,2500,0,96,480,1,Semiurban,0
Male,No,0,Graduate,No,5124,0,124,,0,Rural,0
Male,No,1,Graduate,No,3062,1987,111,180,0,Urban,0
Female,No,0,Graduate,,2764,1459,110,360,1,Urban,1
Male,Yes,0,Graduate,No,4817,923,120,180,1,Urban,1
Male,Yes,3,Graduate,No,8750,4996,130,360,1,Rural,1
Male,Yes,0,Graduate,No,4310,0,130,360,,Semiurban,1
Male,No,0,Graduate,No,3069,0,71,480,1,Urban,0
Male,Yes,2,Graduate,No,5391,0,130,360,1,Urban,1
Male,Yes,0,Graduate,,3333,2500,128,360,1,Semiurban,1
Male,No,0,Graduate,Yes,7167,0,128,360,1,Urban,1
Male,Yes,2,Graduate,No,4566,0,100,360,1,Urban,0
Male,No,1,Graduate,,3667,0,113,180,1,Urban,1
Male,No,0,Not Graduate,No,2346,1600,132,360,1,Semiurban,1
Male,Yes,0,Graduate,No,2333,2417,136,360,1,Urban,1
Male,Yes,0,Graduate,No,5488,0,125,360,1,Rural,1
Male,Yes,0,Graduate,No,2583,2115,120,360,,Urban,1
Male,Yes,2,Not Graduate,No,1993,1625,113,180,1,Semiurban,1
Male,Yes,2,Graduate,No,3100,1400,113,360,1,Urban,1
Male,Yes,2,Graduate,No,3276,484,135,360,,Semiurban,1
Female,No,0,Graduate,No,3180,0,71,360,0,Urban,0
Male,Yes,0,Graduate,No,3033,1459,95,360,1,Urban,1
Male,No,0,Not Graduate,No,3902,1666,109,360,1,Rural,1
Female,No,0,Graduate,No,1500,1800,103,360,0,Semiurban,0
Male,Yes,2,Not Graduate,No,2889,0,45,180,0,Urban,0
Male,No,0,Not Graduate,No,2755,0,65,300,1,Rural,0
Male,No,0,Graduate,No,2500,20000,103,360,1,Semiurban,1
Female,No,0,Not Graduate,No,1963,0,53,360,1,Semiurban,1
Female,No,0,Graduate,No,4547,0,115,360,1,Semiurban,1
Male,Yes,0,Not Graduate,No,2167,2400,115,360,1,Urban,1
Female,No,0,Not Graduate,No,2213,0,66,360,1,Rural,1
Female,No,1,Not Graduate,Yes,3867,0,62,360,1,Semiurban,0
Male,Yes,0,Not Graduate,No,2253,2033,110,360,1,Rural,1
Female,No,0,Graduate,No,2995,0,60,360,1,Urban,1
Male,Yes,0,Graduate,No,1025,2773,112,360,1,Rural,1
Male,Yes,0,Graduate,No,3246,1417,138,360,1,Semiurban,1
Male,Yes,0,Graduate,No,5829,0,138,360,1,Rural,1
Female,No,0,Not Graduate,No,2720,0,80,,0,Urban,0
Male,Yes,0,Graduate,No,1820,1719,100,360,1,Urban,1
Male,Yes,1,Graduate,No,7250,1667,110,,0,Urban,0
Male,Yes,0,Graduate,No,2666,4300,121,360,1,Rural,1
Female,No,1,Not Graduate,No,4606,0,81,360,1,Rural,0
Male,Yes,2,Graduate,No,5935,0,133,360,1,Semiurban,1
Male,Yes,0,Graduate,No,2920,16.12000084,87,360,1,Rural,1
Male,No,0,Not Graduate,No,2717,0,60,180,1,Urban,1
Female,No,1,Graduate,Yes,8624,0,150,360,1,Semiurban,1
Male,No,0,Graduate,No,6500,0,105,360,0,Rural,0
Male,Yes,0,Graduate,No,2425,2340,143,360,1,Semiurban,1
Male,No,0,Graduate,No,3750,0,100,360,1,Urban,1
Male,No,0,Graduate,No,1926,1851,50,360,1,Semiurban,1
Female,Yes,0,Not Graduate,Yes,7142,0,138,360,1,Rural,1
Male,No,3,Not Graduate,No,4707,1993,148,360,1,Semiurban,1
Male,Yes,1,Graduate,Yes,3466,1210,130,360,1,Rural,1
Male,Yes,2,Not Graduate,No,4652,0,110,360,1,Rural,1
Male,Yes,0,Graduate,,3539,1376,55,360,1,Rural,0
Male,Yes,2,Graduate,No,3340,1710,150,360,0,Rural,0
Male,Yes,2,Not Graduate,No,2309,1255,125,360,0,Rural,0
Male,Yes,2,Not Graduate,No,1958,1456,60,300,,Urban,1
Male,Yes,0,Graduate,No,3948,1733,149,360,0,Rural,0
Male,Yes,0,Graduate,No,2483,2466,90,180,0,Rural,1
Male,No,0,Graduate,Yes,7085,0,84,360,1,Semiurban,1
Male,Yes,2,Graduate,No,3859,0,96,360,1,Semiurban,1
Male,Yes,0,Graduate,No,4301,0,118,360,1,Urban,1
Male,No,2,Graduate,No,4354,0,136,360,1,Rural,1
Male,Yes,3,Graduate,No,7740,0,128,180,1,Urban,1
Female,No,1,Not Graduate,,5191,0,132,360,1,Semiurban,1
Male,No,0,Graduate,No,4166,0,98,360,0,Semiurban,0
Male,No,0,Graduate,No,6000,0,140,360,1,Rural,1
Male,Yes,3,Not Graduate,No,2947,1664,70,180,0,Urban,0
Female,Yes,2,Not Graduate,,210,2917,98,360,1,Semiurban,1
Male,Yes,0,Graduate,No,4333,2451,110,360,1,Urban,0
Male,Yes,1,Not Graduate,No,2653,1500,113,180,0,Rural,0
Male,Yes,3,Graduate,No,4691,0,100,360,1,Semiurban,1
Female,No,0,Graduate,Yes,2500,0,93,360,,Urban,1
,Yes,2,Graduate,No,2873,1872,132,360,0,Semiurban,0
Male,Yes,3,Not Graduate,No,3095,0,113,360,1,Rural,1
Male,Yes,0,Graduate,No,2083,3150,128,360,1,Semiurban,1
Male,Yes,1,Not Graduate,No,1958,2436,131,360,1,Rural,1
Male,No,2,Graduate,No,3547,0,80,360,0,Rural,0
Male,No,0,Graduate,No,2435,0,75,360,1,Urban,0
Male,No,0,Not Graduate,No,2699,2785,96,360,,Semiurban,1
Male,No,0,Not Graduate,No,3691,0,110,360,1,Rural,1
Male,Yes,0,Graduate,No,3597,2157,119,360,0,Rural,0
Female,Yes,1,Graduate,No,3326,913,105,84,1,Semiurban,1
Male,Yes,0,Not Graduate,No,2600,1700,107,360,1,Rural,1
Male,Yes,0,Graduate,No,4625,2857,111,12,,Urban,1
Male,Yes,1,Graduate,Yes,2895,0,95,360,1,Semiurban,1
Female,No,0,Graduate,No,645,3683,113,480,1,Rural,1
Female,No,0,Graduate,No,3159,0,100,360,1,Semiurban,1
Male,Yes,1,Not Graduate,No,4050,5302,138,360,,Rural,0
Male,Yes,0,Not Graduate,No,3814,1483,124,300,1,Semiurban,1
,No,0,Graduate,No,3583,0,96,360,1,Urban,0
Male,No,0,Not Graduate,No,3598,1287,100,360,1,Rural,0
Male,Yes,2,Graduate,No,3283,2035,148,360,1,Urban,1
Male,Yes,0,Graduate,No,2130,6666,70,180,1,Semiurban,0
Male,Yes,3,Graduate,No,3466,3428,150,360,1,Rural,1
Female,Yes,2,Graduate,No,2031,1632,113,480,1,Semiurban,1
Male,Yes,,Not Graduate,No,3074,1800,123,360,0,Semiurban,0
Female,No,0,Not Graduate,No,3400,0,95,360,1,Rural,0
Male,Yes,2,Not Graduate,No,2192,1742,45,360,1,Semiurban,1
Male,No,0,Graduate,No,2500,0,55,360,1,Semiurban,1
Male,Yes,3,Graduate,Yes,5677,1424,100,360,1,Rural,1
Male,Yes,0,Graduate,No,3775,0,110,360,1,Semiurban,1
Male,No,1,Not Graduate,No,2679,1302,94,360,1,Semiurban,1
Male,No,0,Not Graduate,No,6783,0,130,360,1,Semiurban,1
Male,Yes,3,Graduate,No,4281,0,100,360,1,Urban,1
Male,No,2,Graduate,No,3588,0,110,360,0,Rural,0
Male,No,0,Not Graduate,,2550,2042,126,360,1,Rural,1
Male,No,2,Graduate,No,3617,0,107,360,1,Semiurban,1
Male,Yes,0,Not Graduate,No,2917,536,66,360,1,Rural,0
Female,Yes,1,Graduate,No,4608,2845,140,180,1,Semiurban,1
Female,No,0,Graduate,No,2138,0,99,360,0,Semiurban,0
Female,No,1,Graduate,,3652,0,95,360,1,Semiurban,1
Male,Yes,1,Not Graduate,No,2239,2524,128,360,1,Urban,1
Female,Yes,0,Not Graduate,No,3017,663,102,360,,Semiurban,1
Male,No,0,Not Graduate,No,3358,0,80,36,1,Semiurban,0
Male,No,0,Graduate,No,2526,1783,145,360,1,Rural,1
Female,No,0,Graduate,No,5000,0,103,360,0,Semiurban,0
Male,Yes,0,Graduate,No,2785,2016,110,360,1,Rural,1
Male,Yes,0,Graduate,No,3593,4266,132,180,0,Rural,0
Male,Yes,1,Graduate,No,5468,1032,26,360,1,Semiurban,1
Female,No,0,Graduate,No,2667,1625,84,360,,Urban,1
Male,Yes,2,Not Graduate,No,3675,242,108,360,1,Semiurban,1
Male,No,0,Not Graduate,Yes,5800,0,132,360,1,Semiurban,1
Male,Yes,0,Not Graduate,No,4467,0,120,360,,Rural,1
Male,No,0,Graduate,No,3333,0,70,360,1,Urban,1
Male,Yes,3,Graduate,No,3400,2500,123,360,0,Rural,0
Female,No,0,Graduate,No,2378,0,9,360,1,Urban,0
Male,Yes,0,Graduate,No,3166,2064,104,360,0,Urban,0
Male,Yes,3,Graduate,No,6406,0,150,360,1,Semiurban,0
Male,Yes,2,Graduate,No,3159,461,108,84,1,Urban,1
,Yes,0,Graduate,No,3087,2210,136,360,0,Semiurban,0
Male,No,0,Graduate,No,3229,2739,110,360,1,Urban,1
Male,Yes,1,Graduate,No,1782,2232,107,360,1,Rural,1
Male,No,0,Graduate,No,1836,33837,90,360,1,Urban,0
Female,Yes,0,Graduate,No,3166,0,36,360,1,Semiurban,1
Male,Yes,1,Graduate,No,1880,0,61,360,,Rural,0
Male,Yes,1,Graduate,No,2787,1917,146,360,0,Rural,0
Male,Yes,0,Graduate,No,2297,1522,104,360,1,Urban,1
Female,No,0,Not Graduate,No,2165,0,70,360,1,Semiurban,1
,No,0,Graduate,No,4750,0,94,360,1,Semiurban,1
Male,Yes,2,Graduate,Yes,2726,0,106,360,0,Semiurban,0
Male,Yes,0,Graduate,No,3000,3416,56,180,1,Semiurban,1
Male,Yes,0,Graduate,No,3859,3300,142,180,1,Rural,1
Male,No,0,Not Graduate,No,3833,0,110,360,1,Rural,1
Male,No,,Graduate,No,2987,0,88,360,0,Semiurban,0
Male,Yes,3,Graduate,No,5703,0,128,360,1,Urban,1
Male,Yes,0,Graduate,No,3232,1950,108,360,1,Rural,1
Female,No,0,Graduate,No,2900,0,71,360,1,Rural,1
Male,Yes,3,Graduate,No,4106,0,40,180,1,Rural,1
Female,No,0,Graduate,Yes,4583,0,133,360,0,Semiurban,0
