age,job,marital,education,default,balance,housing,loan,last_contact_duration,campaign_contacs,passed _days,previous_contacts ,previous_marketing_outcome,successful_marketing
75,retired,married,secondary,no,3771,no,no,185,1,181,2,success,1
34,technician,single,tertiary,no,992,yes,no,301,1,88,2,success,0
48,technician,married,secondary,no,1526,no,no,273,2,,0,unknown,0
35,technician,single,tertiary,no,2658,yes,no,768,2,141,3,failure,1
39,management,divorced,tertiary,no,1315,yes,no,1337,4,126,1,failure,0
29,blue-collar,single,tertiary,no,455,no,no,403,1,,0,unknown,1
45,technician,single,tertiary,no,0,yes,no,139,2,,0,unknown,0
42,technician,married,secondary,no,2030,yes,yes,196,1,,0,unknown,0
29,technician,married,secondary,no,1599,yes,no,115,1,61,1,failure,0
38,services,single,secondary,no,-196,yes,no,60,1,271,1,failure,0
56,retired,married,secondary,no,1333,no,no,17,14,,0,unknown,0
36,technician,single,secondary,no,9149,yes,no,141,3,,0,unknown,0
25,blue-collar,single,secondary,no,-350,yes,no,95,3,,0,unknown,0
38,technician,married,tertiary,no,432,yes,no,10,2,373,1,other,0
57,self-employed,married,secondary,no,11494,no,no,198,1,,0,unknown,0
31,management,married,tertiary,yes,-253,no,no,220,4,,0,unknown,0
42,management,married,tertiary,no,372,yes,no,654,2,,0,unknown,1
45,technician,married,secondary,no,1410,no,no,71,2,,0,unknown,0
30,blue-collar,married,secondary,no,975,yes,no,256,2,351,2,failure,0
49,blue-collar,married,primary,no,305,yes,yes,834,10,,0,unknown,0
49,services,married,secondary,no,400,no,no,151,3,,0,unknown,0
53,retired,married,tertiary,no,-22,yes,no,20,3,,0,unknown,0
37,technician,married,secondary,no,4030,yes,no,178,5,,0,unknown,0
49,blue-collar,married,primary,no,365,no,no,59,2,,0,unknown,0
41,self-employed,married,primary,no,204,no,no,111,7,,0,unknown,0
54,management,married,primary,no,1691,yes,no,186,1,,0,unknown,0
32,services,single,secondary,no,406,yes,no,227,1,,0,unknown,0
33,technician,married,secondary,no,-204,no,no,297,3,,0,unknown,0
33,technician,married,secondary,no,359,yes,no,210,1,242,1,other,0
36,blue-collar,married,primary,no,123,yes,no,9,1,,0,unknown,0
35,technician,married,tertiary,no,0,yes,yes,112,1,62,6,other,0
52,unknown,married,secondary,no,142,no,no,112,6,,0,unknown,0
40,entrepreneur,married,tertiary,no,3571,no,no,222,3,,0,unknown,0
44,technician,single,secondary,no,33,yes,no,195,3,351,10,failure,0
45,blue-collar,single,secondary,no,0,yes,no,768,2,91,5,success,0
30,student,single,secondary,no,3096,no,no,123,1,,0,unknown,0
48,technician,divorced,secondary,yes,20,no,no,145,3,,0,unknown,0
33,blue-collar,married,secondary,no,3576,yes,no,124,1,308,2,other,0
57,technician,married,unknown,no,206,yes,no,216,3,,0,unknown,0
57,housemaid,married,primary,no,7082,no,no,69,3,,0,unknown,0
51,unemployed,married,tertiary,no,1634,yes,no,168,4,,0,unknown,0
34,admin.,single,secondary,no,1,yes,no,483,7,,0,unknown,0
50,self-employed,married,tertiary,no,4012,no,no,690,3,,0,unknown,0
44,management,married,tertiary,no,3762,no,no,125,12,,0,unknown,0
27,admin.,married,secondary,no,-247,yes,yes,344,2,,0,unknown,0
50,blue-collar,married,secondary,no,606,yes,no,673,2,,0,unknown,0
36,management,married,tertiary,no,0,yes,no,60,1,250,1,other,0
42,management,married,secondary,no,-189,yes,no,247,2,,0,unknown,0
32,unemployed,single,secondary,no,0,no,no,123,2,,0,unknown,0
42,management,married,tertiary,no,484,yes,no,144,2,,0,unknown,0
43,technician,married,secondary,no,0,no,yes,9,2,172,5,failure,0
31,management,married,tertiary,no,395,yes,no,155,3,,0,unknown,0
32,management,married,tertiary,no,2349,no,no,134,5,,0,unknown,0
55,blue-collar,divorced,primary,no,410,no,yes,221,2,,0,unknown,0
58,retired,married,primary,no,3401,yes,no,84,3,265,2,failure,0
46,blue-collar,married,primary,no,222,no,no,71,2,,0,unknown,0
55,blue-collar,married,secondary,no,989,yes,yes,246,4,,0,unknown,0
34,management,married,tertiary,no,415,no,yes,361,2,,0,unknown,0
28,unemployed,single,secondary,no,16,no,no,119,4,,0,unknown,0
42,technician,divorced,tertiary,no,7190,yes,no,375,2,,0,unknown,0
29,blue-collar,single,secondary,no,482,no,yes,1097,3,,0,unknown,1
54,housemaid,married,secondary,no,209,yes,yes,97,1,,0,unknown,0
32,technician,single,secondary,no,0,no,no,181,2,,0,unknown,0
39,technician,single,tertiary,no,5803,no,no,83,3,,0,unknown,0
53,entrepreneur,married,tertiary,no,624,no,yes,180,4,,0,unknown,0
58,technician,married,tertiary,no,883,no,no,543,1,78,2,failure,0
40,self-employed,married,secondary,no,1516,yes,yes,373,1,,0,unknown,0
29,student,single,secondary,no,872,yes,no,230,1,,0,unknown,0
33,technician,married,tertiary,no,-988,yes,yes,83,3,,0,unknown,0
38,admin.,single,secondary,no,902,yes,no,58,13,,0,unknown,0
56,services,divorced,secondary,no,1007,no,no,88,6,,0,unknown,0
40,services,married,secondary,no,0,yes,no,297,1,28,3,failure,0
24,blue-collar,single,secondary,no,174,yes,yes,487,1,,0,unknown,1
46,management,married,secondary,no,12186,no,no,29,3,,0,unknown,0
35,self-employed,married,secondary,no,524,yes,no,484,4,,0,unknown,0
35,blue-collar,single,tertiary,no,0,yes,no,262,4,,0,unknown,0
34,technician,married,secondary,no,4,yes,no,644,1,,0,unknown,0
35,housemaid,married,tertiary,no,11219,no,no,699,2,79,1,failure,0
38,technician,single,tertiary,no,0,no,no,247,2,,0,unknown,0
50,blue-collar,married,primary,no,5776,no,no,49,3,,0,unknown,0
51,blue-collar,divorced,primary,no,37,yes,no,341,1,,0,unknown,0
59,self-employed,married,tertiary,no,593,no,no,64,2,,0,unknown,0
32,blue-collar,married,secondary,no,1148,yes,no,121,1,,0,unknown,0
37,blue-collar,single,secondary,no,3561,yes,no,98,1,,0,unknown,0
42,admin.,divorced,secondary,no,63,no,no,88,6,,0,unknown,0
40,student,married,secondary,no,260,no,no,197,6,,0,unknown,0
28,technician,single,tertiary,no,2269,yes,no,331,1,,0,unknown,0
47,admin.,married,secondary,no,1060,yes,no,83,3,,0,unknown,0
27,self-employed,married,secondary,no,-220,yes,no,138,2,,0,unknown,0
41,management,married,tertiary,no,49,yes,no,312,5,,0,unknown,0
34,admin.,married,tertiary,no,69,no,yes,120,3,1,6,success,1
50,blue-collar,married,primary,no,4108,yes,no,526,2,,0,unknown,1
47,blue-collar,married,secondary,no,480,yes,no,211,2,,0,unknown,0
53,services,married,secondary,no,4994,no,no,62,6,,0,unknown,0
53,technician,divorced,secondary,no,0,yes,yes,135,5,,0,unknown,0
47,management,married,tertiary,no,3681,no,no,101,2,,0,unknown,0
49,entrepreneur,divorced,unknown,yes,-701,yes,no,988,2,,0,unknown,1
29,management,married,tertiary,no,451,no,no,451,1,,0,unknown,0
45,blue-collar,divorced,primary,no,-311,yes,no,1030,1,,0,unknown,1
38,entrepreneur,married,secondary,no,593,yes,yes,1484,24,,0,unknown,1
32,blue-collar,married,secondary,no,759,yes,no,317,5,,0,unknown,1
70,retired,divorced,primary,no,4531,no,no,445,1,,0,unknown,0
65,retired,divorced,primary,no,1840,no,no,383,2,188,5,failure,0
56,blue-collar,married,secondary,no,345,yes,no,605,1,,0,unknown,0
35,blue-collar,married,secondary,no,1287,yes,no,330,2,,0,unknown,0
56,management,married,unknown,no,353,no,yes,171,2,,0,unknown,0
56,technician,married,secondary,no,205,no,yes,442,2,,0,unknown,0
49,entrepreneur,married,secondary,no,687,yes,no,772,1,,0,unknown,1
38,unemployed,married,primary,no,1147,yes,yes,249,5,,0,unknown,0
35,management,married,tertiary,no,4286,yes,no,357,1,,0,unknown,0
38,admin.,married,tertiary,no,605,no,no,147,2,,0,unknown,0
49,blue-collar,married,secondary,no,8545,yes,yes,199,7,167,1,failure,0
55,management,married,unknown,no,559,no,no,271,2,,0,unknown,0
43,blue-collar,single,primary,no,2,yes,no,783,3,,0,unknown,0
43,management,married,tertiary,no,2,no,yes,472,2,,0,unknown,0
25,admin.,single,tertiary,no,760,yes,no,223,3,89,2,failure,1
30,blue-collar,married,primary,no,1317,yes,no,395,2,,0,unknown,0
46,blue-collar,married,secondary,no,182,no,no,56,1,,0,unknown,0
50,admin.,married,primary,no,276,no,yes,641,6,,0,unknown,0
35,entrepreneur,married,secondary,no,2971,no,no,429,4,164,2,failure,1
26,unemployed,single,secondary,no,1064,no,no,113,1,,0,unknown,0
45,admin.,married,unknown,no,1783,no,no,11,11,,0,unknown,0
37,blue-collar,married,secondary,no,-67,no,no,157,1,,0,unknown,0
60,self-employed,single,tertiary,no,179,no,yes,79,4,,0,unknown,0
38,management,married,tertiary,no,1199,no,no,178,1,1,1,success,1
47,blue-collar,married,primary,no,214,yes,yes,168,1,,0,unknown,0
33,technician,married,secondary,no,6699,no,no,425,1,462,1,failure,0
51,unemployed,married,secondary,no,1760,no,yes,162,1,,0,unknown,0
35,entrepreneur,single,tertiary,no,145,yes,no,799,2,,0,unknown,1
35,unemployed,married,secondary,no,978,no,no,1370,3,209,3,success,1
48,admin.,single,secondary,no,1150,yes,no,357,1,,0,unknown,0
37,admin.,married,secondary,no,121,no,no,22,6,,0,unknown,0
29,technician,single,tertiary,no,828,yes,no,215,3,321,3,other,0
34,admin.,married,secondary,no,244,yes,no,56,4,,0,unknown,0
32,services,married,primary,no,228,yes,no,1017,6,,0,unknown,1
30,management,single,tertiary,no,424,no,no,298,4,,0,unknown,1
47,management,divorced,tertiary,no,447,no,yes,126,1,,0,unknown,0
33,blue-collar,married,primary,no,-195,no,no,9,1,,0,unknown,0
33,management,single,tertiary,no,1410,yes,no,8,1,254,5,failure,0
63,retired,married,primary,no,1084,no,no,201,1,183,1,success,0
51,self-employed,divorced,primary,no,10924,no,no,106,2,,0,unknown,0
41,management,married,tertiary,no,832,yes,yes,164,1,176,1,failure,0
56,retired,married,tertiary,no,478,no,no,97,1,,0,unknown,0
60,management,single,tertiary,no,0,no,yes,151,1,,0,unknown,0
41,self-employed,single,tertiary,no,3950,yes,no,96,2,,0,unknown,0
37,management,single,unknown,no,504,yes,no,555,1,,0,unknown,0
36,blue-collar,single,secondary,no,219,yes,yes,270,2,347,1,failure,0
57,management,married,tertiary,no,1602,no,no,339,3,,0,unknown,0
55,management,married,primary,no,2587,no,no,328,2,94,2,success,1
44,admin.,married,secondary,no,0,yes,yes,159,1,,0,unknown,0
47,self-employed,married,tertiary,no,2303,yes,no,323,2,364,1,failure,0
31,blue-collar,married,secondary,no,1660,yes,no,342,1,,0,unknown,0
35,management,married,tertiary,yes,32,yes,no,180,1,,0,unknown,0
39,management,married,tertiary,no,278,no,yes,60,3,,0,unknown,0
50,management,married,tertiary,no,4,no,no,223,1,96,2,failure,0
29,management,married,tertiary,no,318,yes,no,1434,2,356,4,failure,0
30,services,single,secondary,no,209,yes,no,30,2,,0,unknown,0
46,services,married,secondary,no,271,yes,no,134,4,,0,unknown,0
27,management,single,unknown,no,3196,no,no,10,2,,0,unknown,0
48,admin.,divorced,secondary,no,4099,no,no,397,2,,0,unknown,1
26,student,single,secondary,no,2572,yes,no,620,1,,0,unknown,0
36,management,single,tertiary,no,339,no,no,6,6,,0,unknown,0
42,blue-collar,married,primary,no,0,yes,yes,209,2,,0,unknown,0
50,housemaid,married,primary,no,395,yes,no,419,2,,0,unknown,0
49,blue-collar,married,secondary,no,2039,yes,no,283,2,,0,unknown,0
45,management,married,tertiary,no,5450,no,no,188,2,,0,unknown,0
23,student,single,secondary,no,780,no,no,267,1,,0,unknown,0
38,technician,single,secondary,no,0,yes,no,196,2,,0,unknown,0
32,management,single,tertiary,no,8436,yes,no,245,1,149,2,failure,0
60,technician,single,primary,no,11262,no,no,323,1,,0,unknown,1
30,entrepreneur,married,secondary,no,946,yes,no,1065,1,183,1,other,0
58,housemaid,married,tertiary,no,497,no,no,138,5,,0,unknown,0
60,retired,married,primary,no,55,no,no,207,1,,0,unknown,0
38,services,married,secondary,no,-140,no,no,456,3,,0,unknown,0
51,technician,married,secondary,no,-379,yes,no,261,1,,0,unknown,0
42,admin.,married,secondary,no,-396,yes,no,80,1,308,4,failure,0
30,services,single,secondary,no,0,yes,no,131,6,363,9,failure,0
40,management,married,primary,no,733,yes,no,94,7,,0,unknown,0
37,management,married,tertiary,no,393,yes,no,567,3,275,4,failure,1
53,technician,divorced,primary,no,7290,yes,no,153,1,,0,unknown,0
27,services,single,secondary,no,468,yes,no,109,1,,0,unknown,0
39,blue-collar,married,secondary,no,0,yes,no,53,1,325,1,failure,0
39,blue-collar,married,primary,no,3705,yes,no,77,1,,0,unknown,0
59,retired,married,tertiary,no,9676,no,no,234,2,,0,unknown,1
37,services,married,secondary,no,1328,yes,no,121,2,341,4,failure,0
41,blue-collar,married,primary,no,8,yes,no,155,2,,0,unknown,0
45,blue-collar,married,primary,no,61,no,no,108,1,,0,unknown,0
48,management,married,tertiary,no,6613,no,no,159,3,,0,unknown,0
48,technician,married,secondary,no,302,yes,no,208,3,,0,unknown,0
32,blue-collar,married,secondary,no,1005,no,no,215,1,,0,unknown,0
35,services,married,secondary,no,109,yes,no,597,3,,0,unknown,0
33,management,single,tertiary,no,1240,yes,no,505,2,260,1,other,0
28,blue-collar,single,primary,no,0,yes,yes,380,4,,0,unknown,0
64,retired,married,unknown,no,2923,no,no,120,1,,0,unknown,0
35,technician,married,secondary,no,0,no,no,106,4,,0,unknown,0
33,blue-collar,married,secondary,no,43,yes,no,332,2,358,2,failure,0
41,technician,married,secondary,no,288,yes,no,221,4,,0,unknown,0
34,admin.,married,secondary,no,613,yes,no,80,1,,0,unknown,0
37,technician,single,tertiary,no,6101,no,no,60,5,87,1,success,0
38,blue-collar,married,primary,no,168,yes,yes,212,3,,0,unknown,0
39,blue-collar,married,primary,no,7685,yes,no,493,3,,0,unknown,0
35,technician,divorced,tertiary,no,4515,yes,no,98,2,,0,unknown,0
28,blue-collar,single,secondary,no,517,no,yes,681,1,,0,unknown,1
27,blue-collar,single,secondary,no,148,no,no,203,1,,0,unknown,0
48,retired,married,primary,yes,-285,no,yes,157,1,,0,unknown,0
